Neighborhood Size,Coverage,RMSE,Time
50,0.63017,0.835129176827,40.7421469688
100,0.88777,0.842521932604,58.0924179554
150,0.95963,0.834396171197,75.4991009235
200,0.98119,0.84466710601,92.949185133
250,0.98928,0.858070908266,110.395025969
