Minimum Similarity,Coverage,RMSE,Time
,0.99788,0.905849313622,245.983414888
0.15,0.99624,0.890999350228,186.97376585
0.3,0.98299,0.856240025314,119.488920927
0.45,0.88589,0.836972099762,71.9888279438
0.6,0.58989,0.808636632613,48.5736958981
0.75,0.31654,0.743102741969,38.8430309296
0.9,0.13819,0.736550964487,32.4072561264
