Minimum Similarity,Coverage,RMSE,Time
0,0.99859,1.020592632,185.976043
0.15,0.99807,1.014817431,120.1716549
0.3,0.98342,1.010468384,64.90761495
0.45,0.79649,1.022505941,35.31839895
0.6,0.22918,1.093476879,25.78127289
0.75,0.00528,0.593525675,24.91050887
