Neighborhood Size,Coverage,RMSE,Time
50,0.98782,1.25531942212,47.4485061169
100,0.9939,1.28753022724,66.6042449474
150,0.9956,1.30734856368,88.8910660744
200,0.99664,1.32172865236,107.423046112
250,0.9972,1.33024871426,126.209517002
