Neighborhood Size,Coverage,RMSE,Time
50,0.75116,0.876590732957,29.9614961147
100,0.9848,0.879216109305,35.0408248901
150,0.99961,0.904198920105,39.1731350422
200,1.0,0.938212218977,40.6516711712
250,1.0,0.961009139826,40.6519420147
