Neighborhood Size,Coverage,RMSE,Time
50,0.99871,0.989328648395,29.6366539001
100,0.99981,0.987422256817,33.6259450912
150,0.99998,0.991423018819,37.4141361713
200,1.0,0.994382557233,38.3042609692
250,1.0,0.996608163216,38.6508288383
