Minimum Similarity,Coverage,RMSE,Time
,0.99859,1.32883946546,407.675884008
0.15,0.99807,1.33771519863,249.751698017
0.3,0.98342,1.35114189305,127.783487082
0.45,0.79649,1.21801709494,52.4209718704
0.6,0.22918,1.09426374651,35.205466032
0.75,0.00528,0.593525675327,34.017608881
